aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 20, 0098",BOEING,737-524,Valid,N14668,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 3, 0002",EMBRAER,EMB-145LR,Valid,N14902,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 19, 0001",EMBRAER,EMB-145LR,Valid,N14916,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Jet,"Dec 3, 0097",EMBRAER,EMB-145EP,Valid,N14930,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 23, 0098",EMBRAER,EMB-145EP,Valid,N14939,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Jet,"Jul 22, 0098",EMBRAER,EMB-145EP,Valid,N14945,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 31, 0098",EMBRAER,EMB-145LR,Valid,N14953,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 17, 0099",EMBRAER,EMB-145LR,Valid,N14974,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 30, 0001",EMBRAER,EMB-145LR,Valid,N14998,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 14, 0097",BOEING,767-3P6,Valid,N153DL,Corporation,"1,990"
Fixed Wing Multi-Engine,Turbo-Jet,"Oct 31, 0001",EMBRAER,EMB-135ER,Valid,N15509,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 2, 0002",EMBRAER,EMB-145LR,Valid,N15574,Corporation,"2,011"
Fixed Wing Multi-Engine,Turbo-Jet,"Aug 25, 0099",BOEING,737-3G7,Valid,N156AW,Corporation,"1,987"
Fixed Wing Multi-Engine,Turbo-Jet,"Aug 25, 0099",BOEING,737-3G7,Valid,N157AW,Corporation,"1,987"
Fixed Wing Multi-Engine,Turbo-Jet,"Nov 29, 0097",EMBRAER,EMB-145EP,Valid,N15926,Corporation,"1,996"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 17, 0099",EMBRAER,EMB-145LR,Valid,N15973,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 20, 0001",EMBRAER,EMB-145LR,Valid,N15986,Corporation,"2,000"
